ncbi,genome,description,gid,ncbi_taxonomy
35,gn:T01558,"mfu, 35; Corallococcus macrosporus HW-1 (Myxococcus fulvus HW-1)",mfu,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Corallococcus;s__Corallococcus macrosporus
161896,gn:T03923,"ccj, 161896; Corynebacterium camporealensis DSM 44610",ccj,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium camporealensis
161899,gn:T03630,"csx, 161899; Corynebacterium singulare IBS B52218",csx,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium singulare
162209,gn:T04167,"pnp, 162209; Paenibacillus naphthalenovorans 32O-Y",pnp,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus naphthalenovorans
162426,gn:T05238,"mhos, 162426; Microbacterium hominis SJTG1",mhos,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium hominis
162496,gn:T05997,"gcr, 162496; Glutamicibacter creatinolyticus LGCM 259",gcr,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Glutamicibacter;s__Glutamicibacter creatinolyticus
163003,gn:T02169,"thm, 163003; Thermococcus cleftensis CL1 (Thermococcus sp. CL1)",thm,d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus cleftensis
163164,gn:T00160,"wol, WOLPM, 163164; Wolbachia sp. wMel, endosymbiont of Drosophila melanogaster (fruit fly)",wol,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__
163877,gn:T04976,"vne, 163877; Virgibacillus necropolis LMG 19488",vne,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Virgibacillus;s__Virgibacillus necropolis
164756,gn:T00367,"mmc, MYCSS, 164756; Mycobacterium sp. MCS",mmc,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
164757,gn:T00482,"mjl, MYCSJ, 164757; Mycobacterium sp. JLS",mjl,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
165597,gn:T05097,"cwa, 165597; Crocosphaera watsonii WH 8501",cwa,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Aphanothecaceae;g__Crocosphaera;s__Crocosphaera watsonii
166314,gn:T03783,"syh, 166314; Synechococcus sp. WH 8109",syh,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__
167539,gn:T00137,"pma, PROMA, 167539; Prochlorococcus marinus subsp. marinus CCMP1375 (Prochlorococcus marinus SS120)",pma,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__Prochlorococcus marinus
167542,gn:T00465,"pmc, PROM5, 167542; Prochlorococcus marinus MIT 9515",pmc,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__Prochlorococcus marinus
167546,gn:T00488,"pmg, PROM0, 167546; Prochlorococcus marinus MIT 9301",pmg,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__Prochlorococcus marinus
167555,gn:T00467,"pme, PROM1, 167555; Prochlorococcus marinus NATL1A",pme,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__Prochlorococcus marinus
167879,gn:T00258,"cps, COLP3, 167879; Colwellia psychrerythraea 34H",cps,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Colwellia;s__Colwellia psychrerythraea
169283,gn:T05193,"gli, 169283; Geobacillus lituanicus N-3",gli,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__Geobacillus lituanicus
169402,gn:T05726,"weo, 169402; Wolbachia sp. Berlin, endosymbiont of Folsomia candida (springtail)",weo,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__
169427,gn:T05812,"pts, 169427; Paraburkholderia terricola mHS1",pts,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__Paraburkholderia terricola
169430,gn:T05305,"phs, 169430; Paraburkholderia hospita DSM 17164",phs,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__Paraburkholderia hospita
169760,gn:T03335,"pste, 169760; Paenibacillus stellifer DSM 14472",pste,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus stellifer
169963,gn:T00066,"lmo, LISMO, 169963; Listeria monocytogenes EGD-e (serotype 1/2a)",lmo,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes
170187,gn:T00057,"spn, STRPN, 170187; Streptococcus pneumoniae TIGR4 (virulent serotype 4)",spn,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae
170573,gn:T04943,"spet, 170573; Staphylococcus pettenkoferi FDAARGOS_288",spet,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pettenkoferi
170673,gn:T07086,"vka, 170673; Vibrio kanaloae R17",vka,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio kanaloae
171101,gn:T00060,"spr, STRR6, 171101; Streptococcus pneumoniae R6 (avirulent serotype 2) (laboratory-adapted D39 derivative)",spr,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae
171279,gn:T06827,"mani, 171279; Mycoplasma anatis NCTC 10156",mani,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;s__Mycoplasma anatis
171281,gn:T07104,"mcit, 171281; Mycoplasma citelli NCTC10181",mcit,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;s__Mycoplasma citelli
171282,gn:T06766,"mcou, 171282; Mycoplasma columborale NCTC10179",mcou,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasmopsis;s__Mycoplasmopsis columboralis
171285,gn:T06765,"mgly, 171285; Mycoplasma glycophilum NCTC10194",mgly,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasmopsis;s__Mycoplasmopsis glycophila
171865,gn:T06621,"splb, 171865; Sulfuriferula plumbiphila Gro7",splb,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Sulfuricellaceae;g__Sulfuriferula;s__Sulfuriferula plumbiphila
172042,gn:T05268,"raj, 172042; Rothia aeria JCM 11412",raj,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__Rothia aeria
172045,gn:T03757,"elb, 172045; Elizabethkingia miricola BM10 (Elizabethkingia sp. BM10)",elb,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia miricola
172713,gn:T05249,"pkb, 172713; Paenibacillus kribbensis AM49",pkb,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus kribbensis
173366,gn:T05721,"mros, 173366; Methylocystis rosea GW6",mros,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;g__Methylocystis;s__Methylocystis rosea
173860,gn:T06927,"srk, 173860; Streptomyces rectiverticillatus B15-08",srk,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces rectiverticillatus
174633,gn:T05435,"kst, 174633; Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen",kst,d__Bacteria;p__Planctomycetes;c__Candidatus Brocadiae;o__Candidatus Brocadiales;f__Candidatus Brocadiaceae;g__Candidatus Kuenenia;s__Candidatus Kuenenia stuttgartiensis
176279,gn:T00229,"ser, STAEQ, 176279; Staphylococcus epidermidis RP62A, methicillin-resistant",ser,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis
176280,gn:T00110,"sep, STAES, 176280; Staphylococcus epidermidis ATCC 12228",sep,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis
176292,gn:T06836,"lmae, 176292; Secundilactobacillus malefermentans CBA3618",lmae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus malefermentans
176299,gn:T00070,"atu, AGRT5, 176299; Agrobacterium fabrum C58 (Agrobacterium tumefaciens C58)",atu,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium fabrum
177416,gn:T00214,"ftu, FRATT, 177416; Francisella tularensis subsp. tularensis SCHU S4",ftu,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Francisellaceae;g__Francisella;s__Francisella tularensis
177437,gn:T00861,"dat, DESAH, 177437; Desulfobacterium autotrophicum HRM2",dat,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacterium;s__Desulfobacterium autotrophicum
177439,gn:T00192,"dps, DESPS, 177439; Desulfotalea psychrophila LSv54",dps,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfotalea;s__Desulfotalea psychrophila
178306,gn:T00073,"pai, PYRAE, 178306; Pyrobaculum aerophilum IM2",pai,d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum aerophilum
178399,gn:T06705,"mpri, 178399; Marinomonas primoryensis MPKMM3633",mpri,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Marinomonas;s__Marinomonas primoryensis
178899,gn:T05389,"cthm, 178899; Carboxydocella thermautotrophica 019",cthm,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__Carboxydocella;s__Carboxydocella thermautotrophica
179408,gn:T02375,"oni, 179408; Oscillatoria nigro-viridis PCC 7112",oni,d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Oscillatoriaceae;g__Oscillatoria;s__
180282,gn:T04496,"dts, 180282; Delftia tsuruhatensis CM13",dts,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;s__Delftia tsuruhatensis
180957,gn:T06364,"pbra, 180957; Pectobacterium brasiliense SX309",pbra,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium brasiliense
182082,gn:T00136,"cpt, CHLPN, 182082; Chlamydia pneumoniae TW-183",cpt,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia pneumoniae
182217,gn:T02032,"hce, 182217; Helicobacter cetorum MIT 00-7128",hce,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter cetorum
182773,gn:T05663,"cia, 182773; Clostridium isatidis DSM 15098",cia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium isatidis
183190,gn:T00113,"xft, XYLFT, 183190; Xylella fastidiosa Temecula1",xft,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xylella;s__Xylella fastidiosa
183417,gn:T05854,"phau, 183417; Proteus hauseri 15H5D-4a",phau,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus hauseri
185007,gn:T06217,"pxv, 185007; Pseudobutyrivibrio xylanivorans MA3014",pxv,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Pseudobutyrivibrio;s__Pseudobutyrivibrio xylanivorans
185008,gn:T04542,"bhu, 185008; Butyrivibrio hungatei MB2003",bhu,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio hungatei
186103,gn:T00079,"spm, STRP8, 186103; Streptococcus pyogenes MGAS8232 (serotype M18)",spm,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pyogenes
186490,gn:T03277,"bcib, 186490; Candidatus Baumannia cicadellinicola BGSS",bcib,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__Candidatus Baumannia cicadellinicola
186490,gn:T04544,"bcig, 186490; Candidatus Baumannia cicadellinicola B-GSS, endosymbiont of Draeculacephala minerva",bcig,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__Candidatus Baumannia cicadellinicola
186497,gn:T00075,"pfu, PYRFU, 186497; Pyrococcus furiosus DSM 3638",pfu,d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Pyrococcus;s__Pyrococcus furiosus
187101,gn:T03854,"sns, 187101; Sneathia vaginalis Sn35 (Sneathia amnii Sn35)",sns,d__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Sneathia;s__Sneathia amnii
187272,gn:T00391,"aeh, ALHEH, 187272; Alkalilimnicola ehrlichii MLHE-1",aeh,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Alkalilimnicola;s__Alkalilimnicola ehrlichii
187303,gn:T02324,"msc, 187303; Methylocystis sp. SC2",msc,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;g__Methylocystis;s__
187304,gn:T04723,"lagg, 187304; Labrenzia aggregata RMAR6-6",lagg,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Labrenzia;s__Labrenzia aggregata
187410,gn:T00092,"ypk, YERPE, 187410; Yersinia pestis KIM10+ (biovar Mediaevalis)",ypk,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersinia pestis
187420,gn:T00009,"mth, METTH, 187420; Methanothermobacter thermautotrophicus Delta H",mth,d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter thermautotrophicus
187491,gn:T05058,"cgv, 187491; Corynebacterium glaucum DSM 30827",cgv,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glaucum
187880,gn:T05177,"trl, 187880; Thermococcus radiotolerans EJ2",trl,d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus radiotolerans
188770,gn:T06436,"sky, 188770; Streptomyces koyangensis VK-A60T",sky,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces koyangensis
188932,gn:T04341,"pcm, 188932; Pedobacter cryoconitis PAMC 27485",pcm,d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter cryoconitis
188937,gn:T00080,"mac, METAC, 188937; Methanosarcina acetivorans C2A",mac,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina acetivorans
189423,gn:T01308,"snb, 189423; Streptococcus pneumoniae 670-6B (serotype 6B)",snb,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae
189425,gn:T03325,"pgm, 189425; Paenibacillus graminis DSM 15220",pgm,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus graminis
189426,gn:T03326,"pod, 189426; Paenibacillus odorifer DSM 15391",pod,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus odorifer
189518,gn:T00098,"lil, LEPIN, 189518; Leptospira interrogans serovar Lai 56601",lil,d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira interrogans
189834,gn:T05443,"apor, 189834; Actinobacillus porcitonsillarum 9953L55",apor,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Actinobacillus;s__Actinobacillus porcitonsillarum
189918,gn:T00442,"mkm, MYCSK, 189918; Mycobacterium sp. KMS",mkm,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
190192,gn:T00078,"mka, METKA, 190192; Methanopyrus kandleri AV19",mka,d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
190304,gn:T00077,"fnu, FUSNU, 190304; Fusobacterium nucleatum subsp. nucleatum ATCC 25586",fnu,d__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum
190485,gn:T00083,"xcc, XANCP, 190485; Xanthomonas campestris pv. campestris ATCC 33913",xcc,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas campestris
190486,gn:T00084,"xac, XANAC, 190486; Xanthomonas citri pv. citri 306 (Xanthomonas axonopodis pv. citri 306)",xac,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas citri
190650,gn:T00049,"ccr, CAUCR, 190650; Caulobacter vibrioides CB15 (Caulobacter crescentus CB15)",ccr,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides
190721,gn:T04471,"rin, 190721; Ralstonia insidiosa FC1138",rin,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia insidiosa
190893,gn:T03444,"vcy, 190893; Vibrio coralliilyticus RE98",vcy,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio coralliilyticus
190893,gn:T03497,"vct, 190893; Vibrio coralliilyticus OCN014",vct,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio coralliilyticus
190895,gn:T05115,"vro, 190895; Vibrio rotiferianus B64D1",vro,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio rotiferianus
191292,gn:T03876,"rav, 191292; Rhodococcus aetherivorans IcdP1",rav,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus aetherivorans
191610,gn:T03227,"cax, 191610; Corynebacterium atypicum R2070",cax,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium atypicum
192222,gn:T00026,"cje, CAMJE, 192222; Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819",cje,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni
192421,gn:T06704,"pmat, 192421; Planococcus maritimus DSM 17275",pmat,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Planococcus;s__Planococcus maritimus
192812,gn:T04986,"efv, 192812; Qipengyuania flava VG1",efv,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Erythrobacter;s__Erythrobacter flavus
192952,gn:T00082,"mma, METMA, 192952; Methanosarcina mazei Go1",mma,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei
193462,gn:T04887,"snw, 193462; Streptomyces niveus SCSIO 3406",snw,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces niveus
193567,gn:T00119,"sps, STRP3, 193567; Streptococcus pyogenes SSI-1 (serotype M3)",sps,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pyogenes
194196,gn:T06725,"aff, 194196; Alysiella filiformis DSM 16848",aff,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Alysiella;s__Alysiella filiformis
194439,gn:T00088,"cte, CHLTE, 194439; Chlorobaculum tepidum TLS (Chlorobium tepidum TLS)",cte,d__Bacteria;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum tepidum
194963,gn:T04621,"same, 194963; Sinorhizobium americanum CFNEI 73",same,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Sinorhizobium;s__Sinorhizobium americanum
195099,gn:T00227,"cjr, CAMJR, 195099; Campylobacter jejuni RM1221",cjr,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni
195102,gn:T00074,"cpe, CLOPE, 195102; Clostridium perfringens 13",cpe,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens
195103,gn:T00378,"cpf, CLOP1, 195103; Clostridium perfringens ATCC 13124",cpf,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens
195105,gn:T05861,"hml, 195105; Haematobacter massiliensis OT1",hml,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Haematobacter;s__Haematobacter massiliensis
195253,gn:T02370,"syne, 195253; Synechococcus sp. PCC 6312",syne,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__
195522,gn:T03065,"tnu, 195522; Thermococcus nautili 30-1",tnu,d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus nautili
196024,gn:T05186,"adh, 196024; Aeromonas dhakensis KN-Mc-6U21",adh,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas dhakensis
196162,gn:T00443,"nca, NOCSJ, 196162; Nocardioides sp. JS614",nca,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__
196164,gn:T00103,"cef, COREF, 196164; Corynebacterium efficiens YS-314",cef,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium efficiens
196600,gn:T00150,"vvy, VIBVY, 196600; Vibrio vulnificus YJ016 (biotype 1)",vvy,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio vulnificus
196620,gn:T00086,"sam, STAAW, 196620; Staphylococcus aureus subsp. aureus MW2, community-acquired methicillin-resistant",sam,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus
196627,gn:T00102,"cgl, CORGL, 196627; Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)",cgl,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum
196627,gn:T00244,"cgb, CORGL, 196627; Corynebacterium glutamicum ATCC 13032 (Bielefeld)",cgb,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum
197221,gn:T00090,"tel, SYNEL, 197221; Thermosynechococcus elongatus BP-1",tel,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Thermosynechococcus;s__Thermosynechococcus elongatus
197222,gn:T06389,"pmes, 197222; Paraglaciecola mesophila GPM4",pmes,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Paraglaciecola;s__Paraglaciecola mesophila
197482,gn:T05822,"ahs, 197482; Malaciobacter halophilus CCUG 53805 (Arcobacter halophilus CCUG 53805)",ahs,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Malaciobacter;s__Arcobacter halophilus
197575,gn:T06550,"haeg, 197575; Haemophilus aegyptius NCTC8502",haeg,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus aegyptius
198094,gn:T00129,"ban, BACAN, 198094; Bacillus anthracis Ames",ban,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus anthracis
198107,gn:T04019,"azi, 198107; Azoarcus sp. CIB",azi,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Azoarcus;s__
